module_id,module_type,name,chapter,source,text_link,length,post_completion_destination,skippable,summary
37,2,Mindfulness (Practice): Listening,3,https://res.cloudinary.com/painnavigator/0/upload/v1650914849/For%20Mobile%20App/Education/Mindfulness%20Practice:%20Listening.m4a,,3,,1,Engage in a relaxation exercise that utilizes Mindfulness and is all about listening.
38,2,Mindfulness (Practice): Your Body,3,https://res.cloudinary.com/painnavigator/0/upload/v1650914852/For%20Mobile%20App/Education/Mindfulness%20Practice:%20Your%20Body.m4a,,4,,1,Engage in a relaxation exercise that utilizes Mindfulness and is all about your body.
39,0,Pleasant Activities,3,https://res.cloudinary.com/painnavigator/0/upload/v1648569333/For%20Mobile%20App/Education/Pleasant%20Activities.mp4,,7,FavoriteActivities,1,Identify activities you can do in moderation that might prevent disability from setting in. Learn how to engage in those activities safely and learn how to work around obstacles that might get in the way of you participating in activities.
40,0,TFA! 4,4,https://res.cloudinary.com/painnavigator/0/upload/v1648569055/For%20Mobile%20App/Education/TFA%21%204.mp4,,4,,0,"Learn the next 3-steps of Thoughts, Feelings, Action!"
41,2,Extended Relaxation Exercise (Intro),3,https://res.cloudinary.com/painnavigator/0/upload/v1650919131/For%20Mobile%20App/Education/Extended%20Relaxation%20Exercise%20Intro.m4a,,0,,1,Engage in an extended Relaxation Exercise.
42,2,Extended Relaxation Exercise (Practice),3,https://res.cloudinary.com/painnavigator/0/upload/v1650919136/For%20Mobile%20App/Education/Extended%20Relaxation%20Exercise%20Practice.m4a,,10,,1,Engage in an extended Relaxation Exercise.
43,0,SMART Goal Renewal 1,3,https://res.cloudinary.com/painnavigator/0/upload/v1650910238/For%20Mobile%20App/Education/SMART%20Goal%20Renewal%201.mp4,,4,SmartGoal,1,Review the process involved in completing your first PainNavigator SMART Goal and reflect on your goal. Establish a SMART Goal you can complete in 2-weeks.
44,0,TFA! 5,4,https://res.cloudinary.com/painnavigator/0/upload/v1648569068/For%20Mobile%20App/Education/TFA%21%205.mp4,,3,,0,"Learn the final 3-steps of Thoughts, Feelings, Action!"
45,0,Medical Approach to Chronic Pain 1,4,https://res.cloudinary.com/painnavigator/0/upload/v1650912369/For%20Mobile%20App/Education/Medical%20Approach%20to%20Chronic%20Pain%201.mp4,,6,,1,Learn about the most common treatments for chronic pain including medications and injections.
46,0,Medical Approach to Chronic Pain 2,4,https://res.cloudinary.com/painnavigator/0/upload/v1650912395/For%20Mobile%20App/Education/Medical%20Approach%20to%20Chronic%20Pain%202.mp4,,7,,1,Learn about surgery and its role in low back pain management.
47,0,TFA! 6,4,https://res.cloudinary.com/painnavigator/0/upload/v1648569409/For%20Mobile%20App/Education/TFA%21%206.mp4,,8,MoodJournal,0,"Review the steps involved in Thoughts, Feelings, Action!"
48,0,Medications for Chronic Pain,4,https://res.cloudinary.com/painnavigator/0/upload/v1650904510/For%20Mobile%20App/Education/Medications%20for%20Chronic%20Pain.mp4,,8,,1,Learn about over the counter and prescription non-opioid medications used to treat chronic pain.
49,2,Communication Styles,4,https://res.cloudinary.com/painnavigator/0/upload/v1650919322/For%20Mobile%20App/Education/Communication%20Styles.m4a,,6,,1,Learn how to effectively communicate your thoughts and feelings and how to avoid the pitfalls of inneffective communication styles.
50,1,Communication Styles Summary,4,,https://docs.google.com/document/d/10oSjcMpmLffVf6QVpOkuj2auvKZN55IWyjXrsfZWGao/edit?usp=sharing,0,,1,
51,0,Opioid Medications 1,4,https://res.cloudinary.com/painnavigator/0/upload/v1650919439/For%20Mobile%20App/Education/Opioid%20Medications%201.mp4,,7,,1,Overview about the potential risks and benefits of opioid medications.
52,0,Opioid Medications 2,4,https://res.cloudinary.com/painnavigator/0/upload/v1650919460/For%20Mobile%20App/Education/Opioid%20Medications%202.mp4,,5,,1,Understand the potential role of opioid therapy in the treatment of your chronic pain.
53,0,Complementary Therapies - Modalities,4,https://res.cloudinary.com/painnavigator/0/upload/v1650919795/For%20Mobile%20App/Education/Complementary%20Therapies:%20Modalities.mp4,,7,,1,"Learn proven complementary therapies that are accepted by the medical community: Acupuncture, Tai Chi, Qi Gong, Spinal Manipulation and Massage."
54,0,Complementary Therapies: Supplements,4,https://res.cloudinary.com/painnavigator/0/upload/v1650904524/For%20Mobile%20App/Education/Complementary%20Therapies:%20Supplements.mp4,,7,,1,Learn about the role of natural supplements on chronic low back pain.
55,1,Additional Supplements,4,,https://docs.google.com/document/d/1ZA2mMb7VDMaXik-AOECDkzjSLWjkpdLLbY_w8pllTMU/edit?usp=sharing,0,,1,
56,0,Expectations for Medical Treatment,4,https://res.cloudinary.com/painnavigator/0/upload/v1648569025/For%20Mobile%20App/Education/Expectations%20for%20Medical%20Treatment.mp4,,8,,1,Identify expectations you may have of health care providers and their treatment recommendations. Learn how to communicate the way chronic pain affects your functioning.
57,1,Expectations for Medical Treatment Summary,4,,https://docs.google.com/document/d/1op_UrzT7Q9m6nfFd1zDFknfkmdF8_JXwRWg21el_Xo0/edit?usp=sharing,0,,1,
58,2,Ergonomics and Pain,4,https://res.cloudinary.com/painnavigator/0/upload/v1650904455/For%20Mobile%20App/Education/Ergonomics%20and%20Chronic%20Pain.mp4,,10,,1,Learn about ergonimics and pain in a dynamic interview with an Occupational Therapist.
59,1,OT-Recommended Daily Lifestyle Changes,4,,https://docs.google.com/document/d/1YPUrJ7vVcIeP0J7vrBrLVakcoBXlzslsywDmNsqbBsQ/edit?usp=sharing,0,,1,
60,0,SMART Goal Renewal 2,4,https://res.cloudinary.com/painnavigator/0/upload/v1648569079/For%20Mobile%20App/Education/SMART%20Goal%20Renewal%202.mp4,,3,SmartGoal,1,Address areas where pain controls how you spend your time. Establish a third PainNaivgator SMART Goal.
61,0,My PainNavigator,4,https://res.cloudinary.com/painnavigator/0/upload/v1648568989/For%20Mobile%20App/Education/My%20PainNavigator.mp4,,7,,0,PainNavigator wrap up! /n Learn how to apply the skills learned in PainNavigator into your daily routine.
62,1,My PainNavigator Summary,4,,https://docs.google.com/document/d/1PgvSGeL3y57PumTtVFzcHo5APCmfE9cJdYi5GsWzhZg/edit?usp=sharing,0,,0,
